Number of AIs: 5
Playing round 1
- Game 1:  Winner was: Monopoly Lads (['Monopoly Lads', 'Generous Daddy', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Game 2:  Winner was: Sophie (['Monopoly Lads', 'Generous Daddy', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Game 3:  Winner was: Mean Daddy (['Monopoly Lads', 'Generous Daddy', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 4:  Winner was: Generous Daddy (['Monopoly Lads', 'Generous Daddy', 'LazyBones', 'Sophie'] eminent-domain: True)
- Game 5:  Winner was: Sophie (['Monopoly Lads', 'Generous Daddy', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 6:  Winner was: Monopoly Lads (['Monopoly Lads', 'Generous Daddy', 'Sophie', 'LazyBones'] eminent-domain: True)
- Game 7:  Winner was: Monopoly Lads (['Monopoly Lads', 'Mean Daddy', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Game 8:  Winner was: Mean Daddy (['Monopoly Lads', 'Mean Daddy', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Game 9:  Winner was: Monopoly Lads (['Monopoly Lads', 'Mean Daddy', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 10:  Winner was: Mean Daddy (['Monopoly Lads', 'Mean Daddy', 'LazyBones', 'Sophie'] eminent-domain: True)
- Results: [('Monopoly Lads', 4), ('Mean Daddy', 3), ('Sophie', 2), ('Generous Daddy', 1), ('LazyBones', 0)]
- Game 11:  Winner was: Generous Daddy (['Monopoly Lads', 'Mean Daddy', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Game 12:  Winner was: Monopoly Lads (['Monopoly Lads', 'Mean Daddy', 'Sophie', 'LazyBones'] eminent-domain: True)
- Game 13:  Winner was: Generous Daddy (['Monopoly Lads', 'LazyBones', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 14:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Game 15:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Game 16:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Game 17:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Game 18:  Winner was: Monopoly Lads (['Monopoly Lads', 'LazyBones', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 19:  Winner was: Generous Daddy (['Monopoly Lads', 'Sophie', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 20:  Winner was: Monopoly Lads (['Monopoly Lads', 'Sophie', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 11), ('Generous Daddy', 4), ('Mean Daddy', 3), ('Sophie', 2), ('LazyBones', 0)]
- Game 21:  Winner was: Monopoly Lads (['Monopoly Lads', 'Sophie', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Game 22:  Winner was: Mean Daddy (['Monopoly Lads', 'Sophie', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Game 23:  Winner was: Monopoly Lads (['Monopoly Lads', 'Sophie', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 24:  Winner was: Monopoly Lads (['Monopoly Lads', 'Sophie', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 25:  Winner was: Generous Daddy (['Generous Daddy', 'Monopoly Lads', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Game 26:  Winner was: Monopoly Lads (['Generous Daddy', 'Monopoly Lads', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Game 27:  Winner was: Mean Daddy (['Generous Daddy', 'Monopoly Lads', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 28:  Winner was: Monopoly Lads (['Generous Daddy', 'Monopoly Lads', 'LazyBones', 'Sophie'] eminent-domain: True)
- Game 29:  Winner was: Sophie (['Generous Daddy', 'Monopoly Lads', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 30:  Winner was: Generous Daddy (['Generous Daddy', 'Monopoly Lads', 'Sophie', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 16), ('Generous Daddy', 6), ('Mean Daddy', 5), ('Sophie', 3), ('LazyBones', 0)]
- Game 31:  Winner was: Generous Daddy (['Generous Daddy', 'Mean Daddy', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Game 32:  Winner was: Sophie (['Generous Daddy', 'Mean Daddy', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Game 33:  Winner was: Generous Daddy (['Generous Daddy', 'Mean Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 34:  Winner was: Mean Daddy (['Generous Daddy', 'Mean Daddy', 'LazyBones', 'Sophie'] eminent-domain: True)
- Game 35:  Winner was: Mean Daddy (['Generous Daddy', 'Mean Daddy', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 36:  Winner was: Sophie (['Generous Daddy', 'Mean Daddy', 'Sophie', 'LazyBones'] eminent-domain: True)
- Game 37:  Winner was: Mean Daddy (['Generous Daddy', 'LazyBones', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 38:  Winner was: Generous Daddy (['Generous Daddy', 'LazyBones', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Game 39:  Winner was: Mean Daddy (['Generous Daddy', 'LazyBones', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 40:  Winner was: Sophie (['Generous Daddy', 'LazyBones', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Results: [('Monopoly Lads', 16), ('Generous Daddy', 9), ('Mean Daddy', 9), ('Sophie', 6), ('LazyBones', 0)]
- Game 41:  Winner was: Generous Daddy (['Generous Daddy', 'LazyBones', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 42:  Winner was: Generous Daddy (['Generous Daddy', 'LazyBones', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 43:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 44:  Winner was: Monopoly Lads (['Generous Daddy', 'Sophie', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Game 45:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 46:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Game 47:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 48:  Winner was: Generous Daddy (['Generous Daddy', 'Sophie', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 49:  Winner was: Mean Daddy (['Mean Daddy', 'Monopoly Lads', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Game 50:  Winner was: Monopoly Lads (['Mean Daddy', 'Monopoly Lads', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Results: [('Monopoly Lads', 18), ('Generous Daddy', 16), ('Mean Daddy', 10), ('Sophie', 6), ('LazyBones', 0)]
- Game 51:  Winner was: Monopoly Lads (['Mean Daddy', 'Monopoly Lads', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 52:  Winner was: LazyBones (['Mean Daddy', 'Monopoly Lads', 'LazyBones', 'Sophie'] eminent-domain: True)
- Game 53:  Winner was: Sophie (['Mean Daddy', 'Monopoly Lads', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Game 54:  Winner was: Monopoly Lads (['Mean Daddy', 'Monopoly Lads', 'Sophie', 'LazyBones'] eminent-domain: True)
- Game 55:  Winner was: Mean Daddy (['Mean Daddy', 'Generous Daddy', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Game 56:  Winner was: Sophie (['Mean Daddy', 'Generous Daddy', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Game 57:  Winner was: Generous Daddy (['Mean Daddy', 'Generous Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 58:  Winner was: Sophie (['Mean Daddy', 'Generous Daddy', 'LazyBones', 'Sophie'] eminent-domain: True)
- Game 59:  Winner was: Generous Daddy (['Mean Daddy', 'Generous Daddy', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 60:  Winner was: Mean Daddy (['Mean Daddy', 'Generous Daddy', 'Sophie', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 20), ('Generous Daddy', 18), ('Mean Daddy', 12), ('Sophie', 9), ('LazyBones', 1)]
- Game 61:  Winner was: Monopoly Lads (['Mean Daddy', 'LazyBones', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 62:  Winner was: Monopoly Lads (['Mean Daddy', 'LazyBones', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Game 63:  Winner was: Generous Daddy (['Mean Daddy', 'LazyBones', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 64:  Winner was: Sophie (['Mean Daddy', 'LazyBones', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Game 65:  Winner was: Monopoly Lads (['Mean Daddy', 'LazyBones', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 66:  Winner was: Generous Daddy (['Mean Daddy', 'LazyBones', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Game 67:  Winner was: Mean Daddy (['Mean Daddy', 'Sophie', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 68:  Winner was: Monopoly Lads (['Mean Daddy', 'Sophie', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Game 69:  Winner was: Sophie (['Mean Daddy', 'Sophie', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 70:  Winner was: Sophie (['Mean Daddy', 'Sophie', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 24), ('Generous Daddy', 20), ('Mean Daddy', 13), ('Sophie', 12), ('LazyBones', 1)]
- Game 71:  Winner was: Mean Daddy (['Mean Daddy', 'Sophie', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 72:  Winner was: Generous Daddy (['Mean Daddy', 'Sophie', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 73:  Winner was: Generous Daddy (['LazyBones', 'Monopoly Lads', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 74:  Winner was: Sophie (['LazyBones', 'Monopoly Lads', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Game 75:  Winner was: Generous Daddy (['LazyBones', 'Monopoly Lads', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Game 76:  Winner was: Mean Daddy (['LazyBones', 'Monopoly Lads', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Game 77:  Winner was: Monopoly Lads (['LazyBones', 'Monopoly Lads', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Game 78:  Winner was: Monopoly Lads (['LazyBones', 'Monopoly Lads', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 79:  Winner was: LazyBones (['LazyBones', 'Generous Daddy', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 80:  Winner was: Monopoly Lads (['LazyBones', 'Generous Daddy', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Results: [('Monopoly Lads', 27), ('Generous Daddy', 23), ('Mean Daddy', 15), ('Sophie', 13), ('LazyBones', 2)]
- Game 81:  Winner was: Monopoly Lads (['LazyBones', 'Generous Daddy', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 82:  Winner was: Generous Daddy (['LazyBones', 'Generous Daddy', 'Mean Daddy', 'Sophie'] eminent-domain: True)
- Game 83:  Winner was: Sophie (['LazyBones', 'Generous Daddy', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 84:  Winner was: Generous Daddy (['LazyBones', 'Generous Daddy', 'Sophie', 'Mean Daddy'] eminent-domain: True)
- Game 85:  Winner was: Monopoly Lads (['LazyBones', 'Mean Daddy', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 86:  Winner was: Mean Daddy (['LazyBones', 'Mean Daddy', 'Monopoly Lads', 'Sophie'] eminent-domain: True)
- Game 87:  Winner was: Mean Daddy (['LazyBones', 'Mean Daddy', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 88:  Winner was: Mean Daddy (['LazyBones', 'Mean Daddy', 'Generous Daddy', 'Sophie'] eminent-domain: True)
- Game 89:  Winner was: Monopoly Lads (['LazyBones', 'Mean Daddy', 'Sophie', 'Monopoly Lads'] eminent-domain: True)
- Game 90:  Winner was: Generous Daddy (['LazyBones', 'Mean Daddy', 'Sophie', 'Generous Daddy'] eminent-domain: True)
- Results: [('Monopoly Lads', 30), ('Generous Daddy', 26), ('Mean Daddy', 18), ('Sophie', 14), ('LazyBones', 2)]
- Game 91:  Winner was: Sophie (['LazyBones', 'Sophie', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 92:  Winner was: Monopoly Lads (['LazyBones', 'Sophie', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 93:  Winner was: Generous Daddy (['LazyBones', 'Sophie', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 94:  Winner was: Sophie (['LazyBones', 'Sophie', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 95:  Winner was: Monopoly Lads (['LazyBones', 'Sophie', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 96:  Winner was: Generous Daddy (['LazyBones', 'Sophie', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Game 97:  Winner was: Sophie (['Sophie', 'Monopoly Lads', 'Generous Daddy', 'Mean Daddy'] eminent-domain: True)
- Game 98:  Winner was: Generous Daddy (['Sophie', 'Monopoly Lads', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Game 99:  Winner was: Generous Daddy (['Sophie', 'Monopoly Lads', 'Mean Daddy', 'Generous Daddy'] eminent-domain: True)
- Game 100:  Winner was: Monopoly Lads (['Sophie', 'Monopoly Lads', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 33), ('Generous Daddy', 30), ('Mean Daddy', 18), ('Sophie', 17), ('LazyBones', 2)]
- Game 101:  Winner was: Sophie (['Sophie', 'Monopoly Lads', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 102:  Winner was: Monopoly Lads (['Sophie', 'Monopoly Lads', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 103:  Winner was: Generous Daddy (['Sophie', 'Generous Daddy', 'Monopoly Lads', 'Mean Daddy'] eminent-domain: True)
- Game 104:  Winner was: Monopoly Lads (['Sophie', 'Generous Daddy', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Game 105:  Winner was: Sophie (['Sophie', 'Generous Daddy', 'Mean Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 106:  Winner was: Generous Daddy (['Sophie', 'Generous Daddy', 'Mean Daddy', 'LazyBones'] eminent-domain: True)
- Game 107:  Winner was: Monopoly Lads (['Sophie', 'Generous Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 108:  Winner was: Generous Daddy (['Sophie', 'Generous Daddy', 'LazyBones', 'Mean Daddy'] eminent-domain: True)
- Game 109:  Winner was: Sophie (['Sophie', 'Mean Daddy', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
- Game 110:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'Monopoly Lads', 'LazyBones'] eminent-domain: True)
- Results: [('Monopoly Lads', 36), ('Generous Daddy', 33), ('Sophie', 20), ('Mean Daddy', 19), ('LazyBones', 2)]
- Game 111:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'Generous Daddy', 'Monopoly Lads'] eminent-domain: True)
- Game 112:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'Generous Daddy', 'LazyBones'] eminent-domain: True)
- Game 113:  Winner was: Mean Daddy (['Sophie', 'Mean Daddy', 'LazyBones', 'Monopoly Lads'] eminent-domain: True)
- Game 114:  Winner was: Generous Daddy (['Sophie', 'Mean Daddy', 'LazyBones', 'Generous Daddy'] eminent-domain: True)
- Game 115:  Winner was: Generous Daddy (['Sophie', 'LazyBones', 'Monopoly Lads', 'Generous Daddy'] eminent-domain: True)
